User Type,Domain,Field,Usage,Timeline,Recproj
Student,Computer Vision,Education,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,3 - 6 months old,IMP
Student,Data Projects,Security,Personal,Anytime,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Anytime,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Latest,DATA
Working Professional,NLP,Education,Personal,Anytime,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Enterprise,3 - 6 months old,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,Anytime,DATA
Student,NLP,Finance,Personal,Latest,CV
Working Professional,Image Processing,Education,Enterprise,Anytime,PRE
Student,Data Projects,Medical,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Finance,Personal,3 - 6 months old,CV
Student,Computer Vision,Education,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,3 - 6 months old,IMP
Student,Data Projects,Security,Personal,Anytime,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,3 - 6 months old,CV
Student,Image Processing,Security,Personal,Latest,PRE
Working Professional,NLP,Agriculture,Personal,Anytime,IMP
Student,Computer Vision,Finance,Personal,3 - 6 months old,NLP
Working Professional,Data Projects,Education,Personal,Latest,DATA
Student,Prediction,Medical,Personal,Anytime,CV
Working Professional,Image Processing,Finance,Personal,3 - 6 months old,PRE
Student,Data Projects,Security,Personal,Latest,IMP
Working Professional,Computer Vision,Agriculture,Personal,Anytime,NLP
Student,NLP,Education,Personal,3 - 6 months old,DATA
Working Professional,Image Processing,Medical,Personal,Latest,CV
Student,Data Projects,Finance,Personal,Anytime,PRE
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,IMP
Student,Prediction,Agriculture,Personal,Latest,NLP
Working Professional,NLP,Education,Personal,Anytime,DATA
Student,Computer Vision,Medical,Personal,Latest,CV
Working Professional,Image Processing,Finance,Enterprise,3 - 6 months old,PRE
Student,Data Projects,Security,Personal,Latest,IMP
Working Professional,Prediction,Agriculture,Personal,Anytime,NLP
Student,NLP,Finance,Personal,Latest,DATA
Working Professional,Image Processing,Education,Enterprise,Anytime,CV
Student,Data Projects,Medical,Personal,3 - 6 months old,PRE
Working Professional,Computer Vision,Security,Personal,Latest,IMP
Student,Prediction,Agriculture,Personal,Anytime,NLP
Working Professional,NLP,Finance,Personal,3 - 6 months old,DATA
Student,Computer Vision,Education,Personal,Latest,CV
Working Professional,Image Processing,Finance,Personal,3 - 6 months old,PRE
Student,Data Projects,Security,Personal,Anytime,IMP
Working Professional,Prediction,Agriculture,Personal,Latest,NLP
Student,NLP,Education,Personal,3 - 6 months old,DATA
Working Professional,Computer Vision,Medical,Personal,Latest,CV
Student,Image Processing,Finance,Personal,Anytime,PRE
Working Professional,Data Projects,Education,Personal,Latest,IMP
Student,Prediction,Security,Personal,3 - 6 months old,NLP
Working Professional,NLP,Agriculture,Personal,Latest,DATA
Student,Computer Vision,Medical,Personal,Anytime,CV
Working Professional,Image Processing,Finance,Personal,3 - 6 months old,PRE
Student,Data Projects,Security,Personal,Latest,IMP
Working Professional,Prediction,Education,Personal,Anytime,NLP
Student,NLP,Finance,Personal,Latest,DATA
Working Professional,Image Processing,Agriculture,Personal,Anytime,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Data Projects,Security,Personal,Latest,IMP
Student,Prediction,Education,Personal,Anytime,NLP
Working Professional,NLP,Finance,Personal,Latest,DATA
Student,Image Processing,Agriculture,Personal,3 - 6 months old,CV
Working Professional,Computer Vision,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Anytime,IMP
Working Professional,Prediction,Security,Personal,3 - 6 months old,NLP
Student,NLP,Education,Personal,Latest,DATA
Student,NLP,Education,Personal,Latest,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Enterprise,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,3 - 6 months old,IMP
Student,Data Projects,Security,Personal,Anytime,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Anytime,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Latest,DATA
Working Professional,NLP,Education,Personal,Anytime,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Enterprise,3 - 6 months old,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,Anytime,DATA
Student,NLP,Education,Personal,Latest,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Enterprise,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Latest,IMP
Student,Data Projects,Security,Personal,Anytime,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Enterprise,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Latest,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Latest,IMP
Student,Data Projects,Security,Personal,Anytime,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Anytime,IMP
Working Professional,Computer Vision,Security,Enterprise,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Latest,DATA
Working Professional,NLP,Education,Personal,Anytime,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,3 - 6 months old,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,Anytime,DATA
Student,NLP,Education,Personal,Latest,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Latest,DATA
Working Professional,NLP,Education,Personal,Anytime,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Latest,IMP
Student,Data Projects,Security,Personal,Anytime,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Latest,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Latest,IMP
Student,Data Projects,Security,Personal,Anytime,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Anytime,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Latest,DATA
Working Professional,NLP,Education,Personal,Anytime,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Latest,IMP
Student,Data Projects,Security,Personal,Anytime,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Latest,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Latest,IMP
Student,Data Projects,Security,Personal,Anytime,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Enterprise,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Latest,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Latest,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Latest,IMP
Student,Data Projects,Security,Personal,Anytime,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Latest,IMP
Student,Data Projects,Security,Personal,Anytime,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
